loop = 0
# Time Axis1 Axis2 Axis3 Axis4 Axis5 Axis6 Axis7 Axis8 Axis9 Axis10 Axis11 Axis12
1.52 5.983566 528.575478 -170.489352 0.0 0.0 0.0 -19.433577 1070.555286 -222.067047 93.862335 -3.347441 -100.706505
1.54 4.392057 531.583139 -160.91779 0.0 0.0 0.0 -19.802836 1073.728125 -211.334273 93.725273 -3.220828 -99.933304
1.56 2.924274 534.353525 -151.499894 0.0 0.0 0.0 -20.045651 1076.66195 -200.717324 93.587372 -3.089936 -99.205582
1.58 1.590305 536.895373 -142.250793 0.0 0.0 0.0 -20.148542 1079.365394 -190.231 93.44828 -2.954746 -98.524055
1.6 0.399979 539.217903 -133.185402 0.0 0.0 0.0 -20.097722 1081.847574 -179.889645 93.307594 -2.815216 -97.889427
1.62 -0.637074 541.330804 -124.318192 0.0 0.0 0.0 -19.878878 1084.118081 -169.706811 93.164841 -2.671264 -97.302376
1.64 -1.511395 543.244099 -115.663405 0.0 0.0 0.0 -19.477133 1086.186812 -159.695708 93.019455 -2.5228 -96.763542
1.66 -2.213739 544.968087 -107.234984 0.0 0.0 0.0 -18.877119 1088.063913 -149.86897 92.870804 -2.369704 -96.27359
1.68 -2.73507 546.513272 -99.046561 0.0 0.0 0.0 -18.062933 1089.75968 -140.238767 92.718185 -2.21184 -95.833115
1.7 -3.066556 547.89028 -91.111447 0.0 0.0 0.0 -17.018121 1091.284469 -130.816741 92.560806 -2.049052 -95.442726
1.72 -3.199566 549.109751 -83.442811 0.0 0.0 0.0 -15.725685 1092.648554 -121.614362 92.397804 -1.881181 -95.10302
1.74 -3.125793 550.182328 -76.053233 0.0 0.0 0.0 -14.168298 1093.862124 -112.642084 92.228249 -1.708022 -94.814568
1.76 -2.837103 551.118497 -68.955139 0.0 0.0 0.0 -12.328017 1094.935072 -103.910218 92.051125 -1.529371 -94.577919
1.78 -2.325546 551.928522 -62.160733 0.0 0.0 0.0 -10.186296 1095.876901 -95.428911 91.865341 -1.345033 -94.393608
1.8 -1.583424 552.622367 -55.681875 0.0 0.0 0.0 -7.724179 1096.696645 -87.207604 91.669731 -1.154773 -94.262154
1.82 -0.603286 553.209602 -49.530102 0.0 0.0 0.0 -4.922235 1097.402717 -79.255536 91.463051 -0.958368 -94.184059
1.84 0.622168 553.699288 -43.716926 0.0 0.0 0.0 -1.760465 1098.002761 -71.581853 91.243996 -0.75559 -94.159805
1.86 2.099923 554.099928 -38.253346 0.0 0.0 0.0 1.78142 1098.503571 -64.195074 91.011185 -0.546197 -94.189835
1.88 3.836909 554.419325 -33.150404 0.0 0.0 0.0 5.724444 1098.91089 -57.103986 90.763161 -0.329972 -94.274574
1.9 5.839692 554.664524 -28.418696 0.0 0.0 0.0 10.08972 1099.229321 -50.31665 90.498405 -0.106667 -94.414421
1.92 8.114806 554.841687 -24.068883 0.0 0.0 0.0 14.899085 1099.46212 -43.841555 90.21534 0.123928 -94.609718
1.94 10.668492 554.956016 -20.111253 0.0 0.0 0.0 20.174525 1099.611081 -37.686698 89.912331 0.362034 -94.860802
1.96 13.506777 555.011642 -16.556043 0.0 0.0 0.0 25.938272 1099.676349 -31.860181 89.587677 0.607858 -95.167923
1.98 16.635607 555.011529 -13.413356 0.0 0.0 0.0 32.213018 1099.656247 -26.370049 89.239639 0.8616 -95.531303
2.0 20.060627 554.957376 -10.69304 0.0 0.0 0.0 39.021413 1099.547114 -21.224252 88.866432 1.123443 -95.951126
2.02 24.042452 554.838041 -8.436086 0.0 0.0 0.0 45.885009 1099.362845 -16.438702 88.545219 1.396231 -96.458199
2.04 28.822086 554.634359 -6.668841 0.0 0.0 0.0 52.379309 1099.120343 -12.004805 88.345604 1.683779 -97.07798
2.06 34.375305 554.331906 -5.37914 0.0 0.0 0.0 58.608033 1098.808585 -7.893505 88.254341 1.987756 -97.802254
2.08 40.677209 553.91252 -4.554524 0.0 0.0 0.0 64.674172 1098.405237 -4.07665 88.258202 2.309708 -98.622536
2.1 47.701977 553.354761 -4.18191 0.0 0.0 0.0 70.679154 1097.879419 -0.528484 88.344032 2.650873 -99.53019
2.12 55.422894 552.634345 -4.247606 0.0 0.0 0.0 76.722532 1097.194209 2.77245 88.498779 3.011986 -100.516594
2.14 63.812243 551.724583 -4.737135 0.0 0.0 0.0 82.901372 1096.308904 5.84231 88.709557 3.393159 -101.573212
2.16 72.841064 550.596845 -5.634904 0.0 0.0 0.0 89.309349 1095.181057 8.691074 88.963722 3.793752 -102.69175
2.18 82.479233 549.220984 -6.924279 0.0 0.0 0.0 96.036435 1093.768214 11.321767 89.248917 4.212304 -103.864273
2.2 92.695184 547.565816 -8.587131 0.0 0.0 0.0 103.167959 1092.029442 13.730617 89.553116 4.6465 -105.083359
2.22 103.456103 545.599529 -10.604152 0.0 0.0 0.0 110.784516 1089.926525 15.906528 89.864639 5.093147 -106.342194
2.24 114.727638 543.290175 -12.954292 0.0 0.0 0.0 118.961108 1087.424967 17.832185 90.172218 5.548229 -107.634712
2.26 126.473993 540.606106 -15.61495 0.0 0.0 0.0 127.767063 1084.49467 19.484327 90.464966 6.006947 -108.955696
2.28 138.657924 537.516416 -18.561835 0.0 0.0 0.0 137.265965 1081.110347 20.834891 90.732399 6.463824 -110.300819
2.3 151.240776 533.991382 -21.769022 0.0 0.0 0.0 147.515751 1077.251672 21.851875 90.964386 6.912795 -111.666809
2.32 164.182404 530.002943 -25.208697 0.0 0.0 0.0 158.568739 1072.903177 22.501087 91.151115 7.347353 -113.051353
2.34 177.441497 525.52503 -28.851646 0.0 0.0 0.0 170.472483 1068.053785 22.74665 91.283104 7.760657 -114.453239
2.36 190.97541 520.534082 -32.666827 0.0 0.0 0.0 183.270018 1062.696247 22.552876 91.351059 8.145673 -115.872223
2.38 204.740594 515.009301 -36.621973 0.0 0.0 0.0 197.001108 1056.826133 21.884627 91.345909 8.495282 -117.309074
2.4 218.692441 508.933147 -40.68327 0.0 0.0 0.0 211.70234 1050.440803 20.708892 91.258728 8.802408 -118.765434
2.42 232.785773 502.291517 -44.816019 0.0 0.0 0.0 227.40877 1043.537939 18.994641 91.080673 9.06008 -120.243721
2.44 246.974791 495.074182 -48.984357 0.0 0.0 0.0 244.153951 1036.114089 16.713923 90.803001 9.261521 -121.747002
2.46 261.213557 487.274885 -53.151905 0.0 0.0 0.0 261.971336 1028.162823 13.84112 90.417015 9.400154 -123.278816
2.48 275.45603 478.891661 -57.281883 0.0 0.0 0.0 280.894236 1019.672924 10.352811 89.914101 9.469601 -124.842987
2.5 289.656518 469.926893 -61.337405 0.0 0.0 0.0 300.956455 1010.626197 6.227203 89.285698 9.463665 -126.443405
2.52 303.76972 460.387583 -65.281635 0.0 0.0 0.0 321.323207 1001.07517 1.029825 88.617989 9.331989 -128.02449
2.54 317.751301 450.28517 -69.07849 0.0 0.0 0.0 341.099639 991.08644 -5.539184 88.003708 9.038728 -129.53447
2.56 331.55799 439.635684 -72.692684 0.0 0.0 0.0 360.228958 980.652063 -13.298621 87.444084 8.599703 -130.983017
2.58 345.147904 428.459665 -76.09009 0.0 0.0 0.0 378.65398 969.76111 -22.067042 86.9403 8.030914 -132.379852
2.6 358.48095 416.781915 -79.238289 0.0 0.0 0.0 396.318111 958.402984 -31.663419 86.493401 7.348467 -133.734558
2.62 371.518841 404.631593 -82.106561 0.0 0.0 0.0 413.165814 946.570623 -41.906836 86.104347 6.568544 -135.056396
2.64 384.225689 392.041644 -84.666592 0.0 0.0 0.0 429.144388 934.262626 -52.617899 85.773941 5.707301 -136.354248
2.66 396.567973 379.048816 -86.892467 0.0 0.0 0.0 444.204869 921.485426 -63.619062 85.502838 4.780811 -137.636383
2.68 408.51495 365.693141 -88.761061 0.0 0.0 0.0 458.303989 908.254423 -74.735774 85.291443 3.804991 -138.910461
2.7 420.038721 352.017679 -90.252373 0.0 0.0 0.0 471.405499 894.594877 -85.798266 85.139824 2.795463 -140.183289
2.72 431.114516 338.068025 -91.349599 0.0 0.0 0.0 483.481775 880.54204 -96.642495 85.047684 1.7675 -141.460876
2.74 441.72078 323.891911 -92.039373 0.0 0.0 0.0 494.514949 866.14092 -107.112184 85.014221 0.735878 -142.748199
2.76 451.839235 309.538792 -92.312006 0.0 0.0 0.0 504.498066 851.445572 -117.060552 85.038078 -0.285243 -144.049255
2.78 461.455072 295.059252 -92.161375 0.0 0.0 0.0 513.435984 836.51784 -126.351777 85.11721 -1.282439 -145.366913
2.8 470.556932 280.504544 -91.585149 0.0 0.0 0.0 521.345693 821.425927 -134.862861 85.248848 -2.243162 -146.702957
2.82 479.136749 265.926362 -90.58483 0.0 0.0 0.0 528.255961 806.242991 -142.485159 85.429466 -3.155871 -148.057938
2.84 487.19006 251.375875 -89.165466 0.0 0.0 0.0 534.207702 791.044794 -149.125456 85.654709 -4.010172 -149.431305
2.86 494.71565 236.903609 -87.335967 0.0 0.0 0.0 539.252749 775.90815 -154.707717 85.919449 -4.796967 -150.821396
2.88 501.715601 222.558847 -85.108644 0.0 0.0 0.0 543.453057 760.908954 -159.173133 86.217789 -5.508523 -152.225449
2.9 508.195118 208.389207 -82.499251 0.0 0.0 0.0 546.879104 746.120422 -162.481067 86.543205 -6.1386 -153.639786
2.92 514.162313 194.440448 -79.526688 0.0 0.0 0.0 549.608227 731.611747 -164.608908 86.888641 -6.68249 -155.059875
2.94 519.628136 180.755796 -76.212918 0.0 0.0 0.0 551.722998 717.446365 -165.552459 87.246651 -7.137109 -156.480576
2.96 524.606124 167.375768 -72.582598 0.0 0.0 0.0 553.309396 703.681074 -165.324942 87.609604 -7.500957 -157.896225
2.98 529.112164 154.337944 -68.66283 0.0 0.0 0.0 554.454498 690.365304 -163.956255 87.969894 -7.774097 -159.300888
3.0 533.164283 141.676648 -64.482879 0.0 0.0 0.0 555.244585 677.540485 -161.492205 88.320152 -7.958117 -160.688553
3.02 536.782337 129.422997 -60.073938 0.0 0.0 0.0 555.763429 665.240139 -157.992833 88.653435 -8.055991 -162.053268
3.04 539.987839 117.604481 -55.468794 0.0 0.0 0.0 556.090242 653.489621 -153.531172 88.963432 -8.07198 -163.389435
3.06 542.803664 106.245082 -50.701398 0.0 0.0 0.0 556.298669 642.306652 -148.191294 89.244614 -8.011463 -164.691727
3.08 545.253789 95.365185 -45.806708 0.0 0.0 0.0 556.454815 631.701776 -142.066773 89.492393 -7.880775 -165.955444
3.1 547.363004 84.981811 -40.820358 0.0 0.0 0.0 556.616433 621.679286 -135.258673 89.703217 -7.687009 -167.176376
3.12 549.156723 75.108411 -35.778316 0.0 0.0 0.0 556.832322 612.237753 -127.873685 89.87458 -7.437835 -168.350952
3.14 550.660704 65.755219 -30.716578 0.0 0.0 0.0 557.141472 603.371192 -120.022044 90.005135 -7.141296 -169.476196
3.16 551.900817 56.929352 -25.67109 0.0 0.0 0.0 557.573012 595.069853 -111.81648 90.094597 -6.805685 -170.549698
3.18 552.902842 48.635037 -20.677241 0.0 0.0 0.0 558.146175 587.321291 -103.369616 90.143753 -6.439314 -171.56955
3.2 553.692237 40.873992 -15.769935 0.0 0.0 0.0 558.870428 580.111345 -94.793128 90.154388 -6.050409 -172.534286
3.22 554.293979 33.645523 -10.983251 0.0 0.0 0.0 559.746019 573.42486 -86.195903 90.129196 -5.646948 -173.442825
3.24 554.73237 26.946981 -6.350251 0.0 0.0 0.0 560.764742 567.246525 -77.683379 90.071678 -5.236613 -174.294327
3.26 555.030886 20.774075 -1.902856 0.0 0.0 0.0 561.910659 561.561591 -69.356043 89.986031 -4.826647 -175.088135
3.28 555.212028 15.121238 2.328163 0.0 0.0 0.0 563.161023 556.356421 -61.309019 89.877029 -4.423819 -175.82373
3.3 555.297188 9.982106 6.313359 0.0 0.0 0.0 564.487294 551.619063 -53.631204 89.749916 -4.034355 -176.500595
3.32 555.30654 5.349764 10.024697 0.0 0.0 0.0 565.856574 547.339373 -46.405452 89.610245 -3.663979 -177.118195
3.34 555.258923 1.217273 13.435584 0.0 0.0 0.0 567.232473 543.509465 -39.70774 89.463768 -3.317828 -177.675949
3.36 555.171742 -2.421947 16.520871 0.0 0.0 0.0 568.576518 540.123769 -33.607549 89.316299 -3.000507 -178.173096
3.38 555.060871 -5.573646 19.256993 0.0 0.0 0.0 569.849352 537.179124 -28.168027 89.173576 -2.716115 -178.608749
3.4 554.940563 -8.242387 21.621803 0.0 0.0 0.0 571.01204 534.674717 -23.446223 89.04113 -2.468268 -178.981842
3.42 554.823347 -10.431077 23.594785 0.0 0.0 0.0 572.027307 532.612055 -19.493276 88.924141 -2.260134 -179.291122
3.44 554.719929 -12.140557 25.157011 0.0 0.0 0.0 572.860845 530.994846 -16.354949 88.827286 -2.094495 -179.535049
3.46 554.639078 -13.36919 26.291179 0.0 0.0 0.0 573.482556 529.828887 -14.071842 88.754623 -1.973766 -179.711914
3.48 554.587501 -14.112442 26.981676 0.0 0.0 0.0 573.867815 529.121995 -12.679605 88.709419 -1.900033 -179.819717
3.5 554.5697 -14.362518 27.21459 0.0 0.0 0.0 573.998878 528.883883 -12.209461 88.694008 -1.875107 -179.856201
3.52 554.5697 -14.362518 27.21459 0.0 0.0 0.0 573.998878 528.883883 -12.209461 88.694008 -1.875107 -179.856201
3.54 554.5697 -14.362518 27.21459 0.0 0.0 0.0 573.998878 528.883883 -12.209461 88.694008 -1.875107 -179.856201
