loop = 0
# Time Axis1 Axis2 Axis3 Axis4 Axis5 Axis6 Axis7 Axis8 Axis9 Axis10 Axis11 Axis12
1.38 0.508964 0.727398 0.390692 0.0 0.0 0.0 0.493494 0.973211 0.364042 94.812126 -4.111048 -107.325653
1.4 0.507979 0.729607 0.395331 0.0 0.0 0.0 0.493073 0.975498 0.369084 94.677208 -4.015685 -106.256767
1.42 0.507017 0.731688 0.399951 0.0 0.0 0.0 0.492673 0.977658 0.374127 94.541946 -3.915549 -105.227455
1.44 0.506083 0.733644 0.404544 0.0 0.0 0.0 0.4923 0.979692 0.379161 94.406448 -3.810791 -104.23867
1.46 0.505181 0.735477 0.409104 0.0 0.0 0.0 0.491958 0.981602 0.384179 94.270775 -3.701519 -103.291328
1.48 0.504317 0.737189 0.413622 0.0 0.0 0.0 0.491652 0.983391 0.389173 94.134918 -3.587822 -102.386307
1.5 0.503495 0.738783 0.418091 0.0 0.0 0.0 0.491386 0.985062 0.394136 93.998817 -3.46978 -101.524429
1.52 0.50272 0.740262 0.422505 0.0 0.0 0.0 0.491167 0.986616 0.39906 93.862335 -3.347441 -100.706505
1.54 0.501996 0.741629 0.426856 0.0 0.0 0.0 0.490999 0.988058 0.403939 93.725273 -3.220828 -99.933304
1.56 0.501329 0.742888 0.431136 0.0 0.0 0.0 0.490888 0.989392 0.408765 93.587372 -3.089936 -99.205582
1.58 0.500723 0.744043 0.435341 0.0 0.0 0.0 0.490842 0.990621 0.413531 93.44828 -2.954746 -98.524055
1.6 0.500182 0.745099 0.439461 0.0 0.0 0.0 0.490865 0.991749 0.418232 93.307594 -2.815216 -97.889427
1.62 0.49971 0.746059 0.443492 0.0 0.0 0.0 0.490964 0.992781 0.422861 93.164841 -2.671264 -97.302376
1.64 0.499313 0.746929 0.447426 0.0 0.0 0.0 0.491147 0.993721 0.427411 93.019455 -2.5228 -96.763542
1.66 0.498994 0.747713 0.451257 0.0 0.0 0.0 0.491419 0.994575 0.431878 92.870804 -2.369704 -96.27359
1.68 0.498757 0.748415 0.454979 0.0 0.0 0.0 0.49179 0.995345 0.436255 92.718185 -2.21184 -95.833115
1.7 0.498606 0.749041 0.458586 0.0 0.0 0.0 0.492264 0.996038 0.440538 92.560806 -2.049052 -95.442726
1.72 0.498546 0.749595 0.462071 0.0 0.0 0.0 0.492852 0.996658 0.444721 92.397804 -1.881181 -95.10302
1.74 0.498579 0.750083 0.46543 0.0 0.0 0.0 0.49356 0.99721 0.448799 92.228249 -1.708022 -94.814568
1.76 0.49871 0.750508 0.468657 0.0 0.0 0.0 0.494396 0.997698 0.452768 92.051125 -1.529371 -94.577919
1.78 0.498943 0.750877 0.471745 0.0 0.0 0.0 0.49537 0.998126 0.456623 91.865341 -1.345033 -94.393608
1.8 0.49928 0.751192 0.47469 0.0 0.0 0.0 0.496489 0.998498 0.46036 91.669731 -1.154773 -94.262154
1.82 0.499726 0.751459 0.477486 0.0 0.0 0.0 0.497763 0.998819 0.463975 91.463051 -0.958368 -94.184059
1.84 0.500283 0.751681 0.480129 0.0 0.0 0.0 0.4992 0.999092 0.467463 91.243996 -0.75559 -94.159805
1.86 0.500955 0.751864 0.482612 0.0 0.0 0.0 0.50081 0.99932 0.47082 91.011185 -0.546197 -94.189835
1.88 0.501744 0.752009 0.484932 0.0 0.0 0.0 0.502602 0.999505 0.474044 90.763161 -0.329972 -94.274574
1.9 0.502654 0.75212 0.487082 0.0 0.0 0.0 0.504586 0.99965 0.477129 90.498405 -0.106667 -94.414421
1.92 0.503689 0.752201 0.48906 0.0 0.0 0.0 0.506772 0.999756 0.480072 90.21534 0.123928 -94.609718
